EWAS catalog,Date,Category,Paper ID,Title,Journal,Summary,
Yes,20190312,EWAS,30760334,Epigenetic findings in periodontitis in UK twins: a cross-sectional study.,Clin Epigenetics,"Periodontitis�in blood, buccal and adipose tissue (Twins UK).",
No,20190312,Longitudinal,30764717,Longitudinal analysis of epigenome-wide DNA methylation reveals novel smoking-related loci in African Americans.,Epigenetics,Generalized estimating equestion (GEE) models�used to investigate smoking and DNAm at two�time points. Smokers tended to have greater DNAm change which was almost always linked to reduced DNAm levels.,
Yes,20190312,EWAS,30765504,"Newborn DNA-methylation, childhood lung function, and the risks of asthma and COPD across the life course.",Eur Respir J,Childhood lung function and risks of asthma and COPD�in cord blood (meta-analysis of 5 cohorts).��The approach used is prone to false positives.,
Yes,20190312,EWAS,30765773,Association between DNA methylation in obesity-related genes and body mass index percentile in adolescents.,Sci Rep,"BMI and adolescent�peripheral blood leukocytes.�No tests survive adjustment for multiple tests, but functions of top genes 'make sense'.",
No,20190312,EWAS,30771258,Genome-wide analysis of DNA methylation in relation to socioeconomic status during development and early adulthood.,Am J Phys Anthropol,Socio-economic position�in young adult blood.?2546 associations!�Study performed in a non-affluent�Philippine population.?,
Yes,20190312,EWAS,30773972,"Maternal pre-pregnancy obesity, offspring cord blood DNA methylation, and offspring cardiometabolic health in early childhood: an epigenome-wide association study.",Epigenetics,"Paternal pre-pregnancy obesity�and offspring cord�blood.?Observed sex-specific associations.� However,�strongest association TAPBP was not replicated.?",
Yes,20190312,EWAS,30777123,A randomized controlled trial of folic acid intervention in pregnancy highlights a putative methylation-regulated control element at ZFP57.,Clin Epigenetics,Folic acid supplementation�during pregnancy�(RCT) linked to differentially methylated regulator�of ZPF57 in cord blood.?,
Yes,20190312,EWAS,30792424,Epigenome-wide association study in peripheral white blood cells involving insulin resistance.,Sci Rep,Insulin resistance�and peripheral blood.798 CpG site associations observed!?,
No,20190312,Methods,30793194,Using long-read sequencing to detect imprinted DNA methylation.,Nucleic Acids Res,Long-read nanopore sequencing�identifies new imprinted regions in mouse.,
No,20190312,Sex chromosomes,30793472,Age-dependent DNA methylation patterns on the Y chromosome in elderly males.,Aging Cell,"Y-chromosome derived DNAm age is different from autosomally-derived DNAm age.DNAm levels tend to increase with age, accelerate in the oldest individuals and associate negatively with mortality.",
Yes,20190312,EWAS,30796027,A Peripheral Blood DNA Methylation Signature of Hepatic Fat Reveals a Potential Causal Pathway for Non-Alcoholic Fatty Liver Disease.,Diabetes,"Hepatic fat�and peripheral blood.? Observe 22 CpG site associations in�3,400�European,�401 Hispanic and 724 African ancestry�participants.?",
,20190312,EWAS,30819252,Genome-wide DNA methylation and long-term ambient air pollution exposure in Korean adults.,Clin Epigenetics,Air pollution�in adult peripheral blood.,
No,20190312,Methods,30821575,Don't brush off buccal data heterogeneity.,Epigenetics,Recommendations for�handling cellular heterogeneity in�buccal DNAm.�,
Yes,20190312,EWAS,30826615,Epigenetic marks of prenatal air pollution exposure found in multiple tissues relevant for child health.,Environ Int,Air pollution�in cord and placenta.�,
Yes,20190312,EWAS,30830696,Brain Imaging-Guided Analysis Reveals DNA Methylation Profiles Correlated with Insular Surface Area and Alcohol Use Disorder.,Alcohol Clin Exp Res,Alcohol use disorder�associated with�CpG sites associated with brain insular surface area.,
No,20190312,Candidate,30831210,Differential BDNF methylation in combat exposed veterans and the association with exercise.,Gene,BDNF�associated with combat and exercise in veterans.,
No,20190312,Methods,30832291,Using Openly Accessible Resources to Strengthen Causal Inference in Epigenetic Epidemiology of Neurodevelopment and Mental Health.,Genes (Basel),How to use�public resources for�causal inference�in Epigenetic Epidemiology of Neurodevelopment and Mental Health ,
Yes,20190312,EWAS,30832715,A comparison of DNA methylation in newborn blood samples from infants with and without orofacial clefts.,Clin Epigenetics,Orofacial clefts�and newborn blood.�Fail to replicate findings based on�ALSPAC�and the�Cleft Collective.�,
